map_index,map_role,status,alpha,density_candidate,closure_checks_passed,next_density_source,unmixed_residual_l2,mixed_step_l2,actual_next_step_l2,failure_reason,n_in_sha256,n_in_electron_count,n_out_sha256,n_out_electron_count,n_next_sha256,n_next_electron_count,target_states,max_input_h_residual_ha,max_gram_norm,max_self_density_h_residual_ha,max_self_rayleigh_residual_ha,internal_energy_ha,entropy_dimensionless,entropy_energy_ha,free_energy_ha,free_energy_arithmetic_error_ha,orbital_electron_count,pauli_density_relative_l2,energy_terms_ha,magnetization_integral,mu_ha,electron_residual,electrons_per_k_unweighted,electrons_per_k_weighted,occupation_minimum,occupation_maximum,numerical_plateau,mu_selection_rule,highest_two,iterations,band_expectation_ha,integral_n_vxc_ha,double_counting_difference_ha,energy_term_sum_difference_ha,occupation_stationarity_status,occupation_stationarity_checked_states,band_status,rayleigh_occupation_max_difference,band_attempt_targets,solve_count,sum_solver_iterations,sum_solver_n_matvec,max_solver_iterations
1,iteration,CONTINUE,0.1,false,false,linear_mixing,4.069221362832867,0.4069221362832867,0.4069221362832867,,11eb4f97b96eee6fa607f2bccf763526609bf19164519a4c515ab550121449c1,10.000000000000004,36dae5dbaa424acbb3008b832e1cbc1587bd2a44571aa767fd85f44d76d72b14,10.000000000000036,f6526644594092801de0188f70fca1b595dc33db011558366accc0c2846519c4,10.000000000000004,24,7.757191169604759e-11,4.624325122858059e-14,8.759198880978946,1.977724589822989,-53.33046239986392,6.403178863165023e-147,-6.403178863165024e-150,-53.33046239986392,6.403178863165024e-150,10.00000000000004,2.1449491753925794e-13,"{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":41.965100797308295,""AtomicNonlocalFR"":-17.56149606352382,""AtomicLocal"":-94.89658195804644,""Hartree"":39.985367503773055,""Xc"":-8.72824022719291}","[-1.9798841991618165e-15,-6.418466846229724e-15,-1.1828871207795448e-15]",-2.7678977535815834,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",1.7827270089943901e-304,1.0,true,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[5.813594311176252e-304,5.813594311171626e-304],[1.7830379844650709e-304,1.7827270089943901e-304],[1.7830379844770305e-304,1.7827270090197241e-304]]",0,-1.933733579047326,-11.41149136233141,-7.105427357601002e-14,0.0,NO_RESOLVABLE_PARTIAL_OCCUPATIONS,0,PASS,0.9999999999999999,[24],3,105,3240,35
2,iteration,CONTINUE,0.1,false,false,linear_mixing,3.6424850047133503,0.36424850047133506,0.36424850047133506,,f6526644594092801de0188f70fca1b595dc33db011558366accc0c2846519c4,10.000000000000004,4d37457d2f18c63c32655dfb8ea35803aa558d26a85c3634121513bc76b2a658,10.000000000000023,e8e4eb5fb8f2041a36dd0696c87cb8921ed7b99dc43957913d2cf0d223928896,10.000000000000007,24,9.622952138041567e-11,4.0438657781572075e-14,8.168133880039807,1.884620972849218,-53.60452012601084,2.2131887328422204e-147,-2.2131887328422205e-150,-53.60452012601084,2.2131887328422205e-150,10.000000000000027,1.3144842275079162e-13,"{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":41.540983770692975,""AtomicNonlocalFR"":-17.541281277197065,""AtomicLocal"":-94.48341899943154,""Hartree"":39.65498397087278,""Xc"":-8.681175138765887}","[1.112853892811335e-14,-1.0756529718436613e-15,-9.306322371033803e-16]",-2.3682889440461485,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",2.5076034645048843e-271,1.0,true,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[6.900388567561619e-271,6.900388567510628e-271],[2.508842419246156e-271,2.5076034645048843e-271],[2.50884241923874e-271,2.5076034645048843e-271]]",0,-2.5228466004734478,-11.349098036283461,8.526512829121202e-14,7.105427357601002e-15,NO_RESOLVABLE_PARTIAL_OCCUPATIONS,0,PASS,1.0,[24],3,68,2128,23
3,iteration,CONTINUE,0.1,false,false,linear_mixing,3.2314864887163774,0.3231486488716378,0.3231486488716378,,e8e4eb5fb8f2041a36dd0696c87cb8921ed7b99dc43957913d2cf0d223928896,10.000000000000007,d2f2c6af108098608af1464227ea0d65ec651f12cae6c0dead70e6568bbcc616,10.000000000000032,c625b8377db4350c857a1662dfe45b27c4f4aed6d97241d2caa196f3c2293f24,10.000000000000007,24,9.62686281842304e-11,3.47275829935836e-14,7.31934352724297,1.728393085710049,-54.06494933728546,3.9546052389181185e-151,-3.954605238918118e-154,-54.06494933728546,3.954605238918118e-154,10.000000000000034,3.0486704214430314e-13,"{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":40.60662311834646,""AtomicNonlocalFR"":-17.34581939592612,""AtomicLocal"":-93.69603353666179,""Hartree"":39.0573094171588,""Xc"":-8.592416488020712}","[-1.0223440906907331e-14,-1.5949039130625395e-15,-8.044397964053805e-15]",-1.9831277783678058,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",5.424988029498471e-229,1.0,true,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[1.2798860532883955e-228,1.2798860532728263e-228],[5.428070458447867e-229,5.424988029608253e-229],[5.4280704584855104e-229,5.424988029498471e-229]]",0,-3.5529247814336156,-11.232313801509743,-2.1316282072803006e-14,7.105427357601002e-15,NO_RESOLVABLE_PARTIAL_OCCUPATIONS,0,PASS,0.9999999999996476,[24],3,59,1860,20
4,iteration,CONTINUE,0.1,false,false,linear_mixing,2.859061495028486,0.28590614950284865,0.28590614950284865,,c625b8377db4350c857a1662dfe45b27c4f4aed6d97241d2caa196f3c2293f24,10.000000000000007,e66658c0bbfb6d1c46422aab46d3d4ae13f0c287e85123061dbace2e5113c747,10.00000000000002,043edc7846a49cad5ec5d15c5239329866466d03e6b27042ac3c95752430d8f1,10.00000000000001,24,9.125042422165436e-11,3.47647707422678e-14,6.515346138675428,1.5653791552911303,-54.5153725610428,7.476513131610396e-154,-7.476513131610396e-157,-54.5153725610428,7.476513131610396e-157,10.000000000000021,3.962413325328489e-13,"{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":39.64601784481866,""AtomicNonlocalFR"":-17.1381869926066,""AtomicLocal"":-92.84397669304168,""Hartree"":38.41359164004305,""Xc"":-8.498205908074123}","[2.1658540202075205e-15,1.4847588917382995e-15,-4.0700266800228235e-15]",-1.643075723792871,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",1.6873924283940316e-189,1.0,true,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[3.42501183827818e-189,3.4250118382774014e-189],[1.6889292005304333e-189,1.6873924284158047e-189],[1.6889292005120965e-189,1.6873924283940316e-189]]",0,-4.617363572337325,-11.108401011593777,-2.1316282072803006e-14,7.105427357601002e-15,NO_RESOLVABLE_PARTIAL_OCCUPATIONS,0,PASS,0.9950258320396941,[24],3,56,1770,19
5,iteration,CONTINUE,0.1,false,false,linear_mixing,2.52375575772024,0.252375575772024,0.252375575772024,,043edc7846a49cad5ec5d15c5239329866466d03e6b27042ac3c95752430d8f1,10.00000000000001,5424612a92c6901bcbb9d5a0fd119df2152e5762f3c54e97e21564fafda62749,10.000000000000028,2279d452a2a865e643a0b7cfda69747c8cc487d3394fa104ee9a678cf5218e32,10.000000000000014,24,9.657451502715856e-11,3.456759184483952e-14,5.7774145729127495,1.4053859876219885,-54.93198732720183,3.201012325137231e-153,-3.201012325137231e-156,-54.93198732720183,3.201012325137231e-156,10.00000000000003,3.0402850572876273e-13,"{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":38.7047766584718,""AtomicNonlocalFR"":-16.926539655623124,""AtomicLocal"":-91.96641333493196,""Hartree"":37.753916668666186,""Xc"":-8.40311521160263}","[4.879809011452098e-15,6.086440344916841e-16,-7.317371220361479e-17]",-1.3553192027705832,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",2.2639089349728595e-161,1.0,true,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[2.486530026854681e-161,2.4865300268416777e-161],[2.2658408355236108e-161,2.2639089349728595e-161],[2.2658408355138223e-161,2.2639089349760766e-161]]",0,-5.663631183352075,-10.9832881886013,1.3500311979441904e-13,7.105427357601002e-15,NO_RESOLVABLE_PARTIAL_OCCUPATIONS,0,PASS,0.00032368023372232623,[24],3,55,1740,19
6,iteration,CONTINUE,0.1,false,false,linear_mixing,2.222997674492978,0.22229976744929789,0.22229976744929789,,2279d452a2a865e643a0b7cfda69747c8cc487d3394fa104ee9a678cf5218e32,10.000000000000014,eabedd1682084e05e92ec86b683e993c5a87a5ad400a4e88a6fc888553f015b7,10.00000000000004,cdf803775209156f241676de5feac7aa9de6ceec1ac662d810f02f51abb5b2dc,10.000000000000014,24,8.305795957598658e-11,3.6965275035332743e-14,5.10816679866822,1.252752194051113,-55.307008917537715,1.5066933114186674e-138,-1.5066933114186674e-141,-55.307008917537715,1.5066933114186674e-141,10.000000000000044,2.581247945370674e-13,"{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":37.80167928970292,""AtomicNonlocalFR"":-16.714952314513308,""AtomicLocal"":-91.08313941678345,""Hartree"":37.093248581661584,""Xc"":-8.309232605423352}","[-1.5111141250824362e-15,-3.0305047274753435e-15,-3.3397671440974342e-15]",-1.1402418335311335,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",1.851111643804259e-175,1.0,true,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[1.851111643810888e-175,1.851111643804259e-175],[1.9080183702170268e-175,1.9080070462530522e-175],[1.9080183702164845e-175,1.9080070462768045e-175]]",0,-6.66957931876732,-10.859664040496549,-9.947598300641403e-14,7.105427357601002e-15,NO_RESOLVABLE_PARTIAL_OCCUPATIONS,0,PASS,7.398437734040085e-08,[24],3,53,1680,18
7,iteration,CONTINUE,0.1,false,false,linear_mixing,1.9540444255433784,0.19540444255433792,0.19540444255433792,,cdf803775209156f241676de5feac7aa9de6ceec1ac662d810f02f51abb5b2dc,10.000000000000014,cfc370e5118bc291f16c411d05df01a8ec91c628402f47d77701c8362a23a045,10.000000000000005,0cae2c37036472413ef01c3dd3af6b76f9ea27164a0c299488cb8880599f0e2b,10.000000000000014,24,9.876809377967283e-11,3.1616620212793965e-14,4.5051604589018,1.1098356613604312,-55.638484678808005,1.4145695748901182e-125,-1.4145695748901182e-128,-55.638484678808005,1.4145695748901182e-128,10.000000000000005,1.3937312271896596e-13,"{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":36.94637533579759,""AtomicNonlocalFR"":-16.506362153856664,""AtomicLocal"":-90.2074080636465,""Hartree"":36.44128107934377,""Xc"":-8.217758424264108}","[4.587390073407861e-15,-5.585609587629967e-16,2.5842037826571334e-15]",-0.9577689959358852,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",5.902508888041985e-185,1.0,true,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[5.902508888044668e-185,5.902508888041985e-185],[6.441580550128174e-185,6.441573147724813e-185],[6.441580550100712e-185,6.441573147727742e-185]]",0,-7.623919117938153,-10.739086394920097,-2.1316282072803006e-14,-7.105427357601002e-15,NO_RESOLVABLE_PARTIAL_OCCUPATIONS,0,PASS,3.0672281527850885e-11,[24],3,51,1618,17
8,iteration,CONTINUE,0.1,false,false,linear_mixing,1.7142038126350576,0.17142038126350587,0.17142038126350587,,0cae2c37036472413ef01c3dd3af6b76f9ea27164a0c299488cb8880599f0e2b,10.000000000000014,693311f75614e76b047412752265fe24d37a4071c2d0fae58bedb43c02500a73,10.00000000000002,e331ba57ca39371b17edd729e055848cd071604d8d8d7d5b9a7b2a887cab2310,10.000000000000016,24,7.87031227815635e-11,3.185006453028454e-14,3.964205956259346,0.9778785685739395,-55.92731412954366,3.853159773029207e-114,-3.853159773029207e-117,-55.92731412954366,3.853159773029207e-117,10.000000000000023,1.951401208204049e-13,"{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":36.144077454869674,""AtomicNonlocalFR"":-16.30318137955148,""AtomicLocal"":-89.34911121451297,""Hartree"":35.804970947535594,""Xc"":-8.129457485702368}","[-2.5277974352862676e-15,5.0459508824691075e-15,-1.4316778101006453e-15]",-0.8038068694472689,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",3.175235503086437e-190,1.0,true,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[3.175235503088242e-190,3.175235503086437e-190],[3.900811959446987e-190,3.9008113329666757e-190],[3.9008119594498693e-190,3.900811332977541e-190]]",0,-8.52085489786801,-10.622581653744438,2.842170943040401e-14,7.105427357601002e-15,NO_RESOLVABLE_PARTIAL_OCCUPATIONS,0,PASS,1.1191048088221578e-13,[24],3,50,1590,17
9,iteration,CONTINUE,0.1,false,false,linear_mixing,1.5009074750808349,0.1500907475080836,0.1500907475080836,,e331ba57ca39371b17edd729e055848cd071604d8d8d7d5b9a7b2a887cab2310,10.000000000000016,891e5dbfa0bbf3bab71fbc7483454f44b982674e89c566b1c7ef13f0c869bcf7,10.000000000000018,e80bba8c9436a42c1e8cb96cdeca47cd77fb442b02bf703439000e81995ff76c,10.000000000000018,24,9.82538323166248e-11,2.981680023281458e-14,3.480533367575451,0.8574475219995616,-56.17593683462681,4.545362132874594e-104,-4.5453621328745937e-107,-56.17593683462681,4.5453621328745937e-107,10.000000000000021,1.0557229484102984e-13,"{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":35.397416668528706,""AtomicNonlocalFR"":-16.107444383682058,""AtomicLocal"":-88.51598283201106,""Hartree"":35.18953849745688,""Xc"":-8.04485233273717}","[-7.578288709426012e-15,-2.525051402644944e-15,-5.274605934078469e-15]",-0.6745823441250919,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",7.406115579963937e-192,1.0,true,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[7.40611557996941e-192,7.406115579963937e-192],[1.2592404335322269e-191,1.2592374120807271e-191],[1.2592404335318689e-191,1.259237412079868e-191]]",0,-9.357819951117133,-10.51088639886664,1.5631940186722204e-13,7.105427357601002e-15,NO_RESOLVABLE_PARTIAL_OCCUPATIONS,0,PASS,1.0620051934432321e-16,[24],3,48,1530,16
10,iteration,CONTINUE,0.1,false,false,linear_mixing,1.3117311088905215,0.13117311088905226,0.13117311088905226,,e80bba8c9436a42c1e8cb96cdeca47cd77fb442b02bf703439000e81995ff76c,10.000000000000018,d3e65b5b5e7bc7be961c8135288cc1acc7049661b08d6e61269859f4bcbda223,10.000000000000025,06625278465f165b3996c856528a0efe96c2f5a7e5bd7be7bac7ecfb00efa83b,10.00000000000002,24,9.857634002006694e-11,3.477476162712412e-14,3.049264640922489,0.7486303212466162,-56.387686793917595,3.2365757443364244e-95,-3.2365757443364243e-98,-56.387686793917595,3.2365757443364243e-98,10.000000000000028,2.777561481867951e-13,"{""PspCorrection"":0.09187494522099392,""Ewald"":-14.186487397403095,""Kinetic"":34.70721854833038,""AtomicNonlocalFR"":-15.920825562480072,""AtomicLocal"":-87.71395699448372,""Hartree"":34.598791442779074,""Xc"":-7.9643017758811565}","[2.971792694926521e-15,-1.282886480199064e-15,5.994595011884304e-15]",-0.5667507534880214,0.0,"[10.0,10.0,10.0]","[3.333333333333333,3.333333333333333,3.333333333333333]",1.3025871618806144e-190,1.0,true,"Midpoint of the global spectral gap; Float64 counts equal at its 1/4,1/2,3/4 points","[[1.3025871618809847e-190,1.3025871618806144e-190],[4.735177165645303e-190,4.73516300094939e-190],[4.735177165652839e-190,4.735163000955312e-190]]",0,-10.134513443629075,-10.404532320553795,-1.4210854715202004e-14,0.0,NO_RESOLVABLE_PARTIAL_OCCUPATIONS,0,PASS,1.3810752080479236e-16,[24],3,56,1616,19
